metric,generation_seed,mean,sample_std,pooled_within_std,between_generation_std_of_means,corrected_generation_component_std,total_std
rmse,3,26.784127290536134,0.14316385880949922,,,,
rmse,13,23.30923380695936,0.5715508230009522,,,,
rmse,23,26.436760807768604,0.6873512545734636,,,,
rmse,33,24.69644982727325,0.50686014642132,,,,
rmse,43,31.32120545610926,0.3459425867104846,,,,
rmse,aggregate,26.50955543772932,,0.48912196070840847,3.031586843343019,3.0236849588277286,2.8032360884606398
discriminative_score,3,0.14061145883485798,0.009358459362760054,,,,
discriminative_score,13,0.11073663938372653,0.0603121957295146,,,,
discriminative_score,23,0.4589070775156475,0.04428626123460435,,,,
discriminative_score,33,0.09252527684159846,0.006942672019667731,,,,
discriminative_score,43,0.42809340394800194,0.027738219391786112,,,,
discriminative_score,aggregate,0.24617477130476648,,0.036066672037488756,0.18127650887198,0.1805575024817332,0.1687255599602325
