metric,generation_seed,mean,sample_std,pooled_within_std,between_generation_std_of_means,corrected_generation_component_std,total_std
rmse,3,25.36150876014177,0.9674718234986937,,,,
rmse,13,24.486538423060644,0.8604741378940055,,,,
rmse,23,31.65925461164316,0.1285125468154703,,,,
rmse,33,25.193782644168003,0.78771714857998,,,,
rmse,53,27.535990658735802,0.4488775400273232,,,,
rmse,63,24.93531222772822,0.7031796326533555,,,,
rmse,aggregate,26.528731220912935,,0.7082118202232743,2.727301718726286,2.7088488087205165,2.6129115890890433
discriminative_score,3,0.1394077997111218,0.07041740987215149,,,,
discriminative_score,13,0.13198122291766973,0.008063954701316423,,,,
discriminative_score,23,0.40704140587385645,0.01404170388817451,,,,
discriminative_score,33,0.1083052479537795,0.03445992196678378,,,,
discriminative_score,53,0.4700770341839191,0.030311526916336644,,,,
discriminative_score,63,0.08969667790081848,0.04099903099468489,,,,
discriminative_score,aggregate,0.22441823142352754,,0.03874705118902684,0.16798986110789188,0.1670937660114218,0.15990803944514398
